,,,,,,,,,,,,,,,wire,wire,wire,wire,Voltmeter_load1,wire,wire,wire,wire,wire
,,,,,,,,,,,,,,,wire,,,wire,,,,wire,,wire
,,,,,,,,,,,,,,,wire,,,wire,Resistor_load1,wire,Ammeter_load1,wire,,wire
,,,,,,,,,,,,,,,wire,,,,,,,,,wire
,,,,,,,,,,,,,,,wire,wire,wire,wire,Voltmeter_load2,wire,wire,wire,wire,wire
,,,,,,,,,,,,,,,wire,,,wire,,,,wire,,wire
,,,,,,,,,,,,,,,wire,,,wire,Resistor_load2,wire,Ammeter_load2,wire,,wire
,,,,,,,,,,,,,,,wire,,,,,,,,,wire
,,,,,,,,,,,,,,,wire,wire,wire,wire,Voltmeter_load3,wire,wire,wire,wire,wire
,,,,,,,,,,,,,,,wire,,,wire,,,,wire,,wire
,,,,,,,,,,,,,,,wire,,,wire,Resistor_load3,wire,Ammeter_load3,wire,,wire
,,,,,,,,,,,,,,,wire,,,,,,,,,wire
,,,,,,,,,,,,,,,wire,,,,,,,,,wire
,,,,,,,,,,,,,,,wire,,,,,,,,,wire
,,,,,,,,,,,,,,,wire,,,,,,,,,wire
,,,,,,,,,,,,,,,wire,,,,,,,,,wire
wire,wire,Ammeter_Isource,wire,Resistor_Ramm,wire,Diode_Dfilter,Inductor_Ifilter,wire,Resistor_Rfilter,wire,wire,wire,wire,wire,wire,,,,,,,,,wire
wire,,,,,,,,,,wire,,,,,,,,,,,,,,wire
wire,,,,,,,,,,wire,,,,,,,,,,,,,,wire
wire,wire,wire,,,,,,,,wire,wire,wire,,,,,,,,,,,,wire
wire,,wire,,,,,,,,wire,,wire,,,,,,,,,,,,wire
wire,,wire,,,,,,,,wire,,wire,,,,,,,,,,,,wire
Resistor_Rsource,,wire,,,,,,,,Capacitor_Cfilter,,wire,,,,,,,,,,,,wire
wire,,Voltmeter_Vsource,,,,,,,,wire,,Voltmeter_Cfilter,,,,,,,,,,,,wire
VoltageSource_Vsource,,wire,,,,,,,,Resistor_Cfilter,,wire,,,,,,,,,,,,wire
wire,,wire,,,,,,,,wire,,wire,,,,,,,,,,,,wire
wire,,wire,,,,,,,,wire,,wire,,,,,,,,,,,,wire
wire,wire,wire,,,,,,,,wire,wire,wire,,,,,,,,,,,,wire
wire,,,,,,,,,,wire,,,,,,,,,,,,,,wire
wire,,,,,,,,,,wire,,,,,,,,,,,,,,wire
wire,wire,wire,wire,wire,wire,wire,Resistor_Rload,wire,wire,wire,wire,wire,wire,wire,wire,wire,wire,wire,wire,wire,wire,wire,wire,wire
